scenario,pv_filename,pv_scaleable,pv_kW_peak,load_folder,arrangement,pv_capex_scaleable,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate
19,,FALSE,,W_new,bau,FALSE,,DMO_TOU,DMO_TOU,TIDNULL,EA305,,20,0.06
20,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
21,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
22,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
23,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
24,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
25,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_low,20,0.06
26,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
27,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
28,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
29,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
30,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
31,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_med,20,0.06
32,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
33,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
34,W_max_pv_1kW.csv,TRUE,75,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
35,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
36,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75_25,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
37,W_max_pv_1kW.csv,TRUE,145,W_new,en_pv,TRUE,W_75_50,TIDNULL,TIDNULL,EN_P,EA305,capex_high,20,0.06
